,pred,lat,lon
0,1,34.1956,-118.5975
1,0,34.0926,-118.331
2,1,34.1422,-118.1878
3,1,34.0426,-118.2073
4,0,34.1038,-118.2013
5,0,33.952,-118.2651
6,1,34.0291,-118.3089
7,0,34.2252,-118.4413
8,0,34.0037,-118.3002
9,0,34.0363,-118.3657
10,1,34.1837,-118.4443
11,0,34.1034,-118.3325
12,0,34.1649,-118.3877
13,1,34.3058,-118.4677
14,1,34.1776,-118.4618
15,1,34.0423,-118.2452
16,0,33.7792,-118.2493
17,1,34.001,-118.2783
18,1,34.2175,-118.3703
19,0,33.9798,-118.2783
20,0,34.0312,-118.3293
21,0,34.164,-118.3706
22,0,34.1974,-118.6015
23,1,34.0276,-118.437
24,0,34.0981,-118.3616
25,0,34.1199,-118.2431
26,1,34.1152,-118.1898
27,0,33.9807,-118.3265
28,1,34.1811,-118.5535
29,0,34.0213,-118.3501
30,1,33.9943,-118.2739
31,1,33.9593,-118.263
32,0,34.0284,-118.284
33,0,33.9624,-118.2915
34,0,34.1866,-118.536
35,0,33.9378,-118.2462
36,1,34.0962,-118.3353
37,1,33.9933,-118.4765
38,1,34.0338,-118.2054
39,0,34.0449,-118.2458
40,0,34.0836,-118.3511
41,1,33.9892,-118.2892
42,1,33.9794,-118.4664
43,0,33.7065,-118.2928
44,1,34.0436,-118.309
45,0,34.1314,-118.1909
46,0,34.324,-118.4248
47,0,34.069,-118.3104
48,0,34.2272,-118.5471
49,1,34.0085,-118.3351
50,1,34.0326,-118.3338
51,1,33.9547,-118.2782
52,1,33.9815,-118.2739
53,0,34.1939,-118.5535
54,0,34.0573,-118.2831
55,0,34.0119,-118.3499
56,1,33.9482,-118.2368
57,1,34.2375,-118.5227
58,1,33.9842,-118.2783
59,0,33.921,-118.2836
60,1,33.9348,-118.2869
61,1,33.9154,-118.2894
62,1,33.9747,-118.2871
63,1,34.0526,-118.3021
64,0,34.0031,-118.4144
65,0,33.7895,-118.3043
66,0,34.1548,-118.4662
67,0,34.0619,-118.2369
68,0,34.2159,-118.4189
69,1,34.0835,-118.3103
70,1,33.9969,-118.3002
71,0,34.1977,-118.5361
72,0,33.982,-118.2652
73,1,34.1392,-118.2116
74,0,34.0215,-118.3524
75,0,33.9869,-118.4736
76,0,34.0454,-118.236
77,0,33.9565,-118.416
78,1,34.0777,-118.2956
79,0,34.0056,-118.2816
80,1,34.2233,-118.3964
81,0,33.9237,-118.2826
82,0,34.1649,-118.3757
83,0,34.1016,-118.332
84,0,34.1033,-118.2376
85,1,33.9475,-118.3156
86,1,34.0287,-118.2335
87,1,34.2175,-118.5404
88,1,33.958,-118.421
