,lon,lat,label
12283,-80.1538432,25.8867442,1
5976,-80.2269133,26.3973945,1
16599,-82.6606703,27.8309933,0
11659,-81.6833,30.4228579,1
9319,-81.6532673,28.2499845,1
12830,-80.1619297,26.2975318,1
15359,-82.6220916,27.7989897,1
128,-82.3641826,27.0962493,0
13057,-81.6326543,30.2716069,1
8457,-82.1015467,26.9907679,1
5079,-80.8034655,28.535756,1
14716,-80.3273513,25.879093,0
4894,-80.1322038,25.8414498,0
13563,-82.7334726,27.6984468,0
16320,-80.2395462,26.6998175,0
15515,-80.0519931,26.5113142,0
13191,-82.4256795,27.759871,1
13517,-82.5239726,28.0439909,1
15947,-80.8826752,28.8402255,1
16751,-80.0882411,26.2978686,0
12329,-80.1923875,25.8190749,1
743,-80.0450388,26.8301076,0
14342,-81.1900477,28.6798479,0
15259,-82.028105,28.0594355,1
12011,-80.0879102,26.8749441,0
5166,-81.6151977,30.1449604,1
15755,-80.3176823,25.9485847,0
11691,-81.7635465,28.0437358,0
2617,-82.6237954,27.8327585,0
8454,-82.3027221,28.615086,0
11978,-80.3035359,27.2801376,1
13133,-81.2919746,28.6176174,1
2618,-80.71052,28.368992,1
16763,-87.0593323,30.7557288,1
18308,-80.1401178,26.7860197,0
10432,-84.2520852,30.5196434,1
13441,-80.2311409,26.1145791,0
12799,-80.1621976,26.3225329,0
17472,-80.2103392,25.7448743,0
5018,-80.114622,26.5187723,0
18880,-80.1114779,26.2665147,1
16105,-82.3748008,27.0645888,0
3320,-80.215497,26.3165005,0
13537,-81.6444743,30.0403328,1
1202,-80.1566718,25.9562613,1
6196,-80.2363073,26.0177303,0
10126,-80.0838083,26.8395267,1
7443,-82.5701868,28.1854188,1
17173,-81.3556665,28.5058481,0
13842,-82.5136479,27.3600754,0
18813,-82.4131115,27.9900018,1
8916,-82.3053481,27.7845132,1
10513,-80.2395462,26.6998175,0
8405,-82.6099969,28.0419041,0
16971,-82.3748678,26.9895703,0
17687,-81.2607698,28.6256508,1
4869,-82.1985938,28.236956,0
6485,-81.4222508,28.5308646,0
19089,-82.3053481,27.7845132,0
18538,-81.4496945,28.5112539,0
11099,-82.6933723,27.6674028,1
18345,-81.322789,27.7153514,0
17999,-82.3641826,27.0962493,0
5092,-81.3679129,28.3369048,1
16155,-80.3647642,26.0489699,1
11825,-82.4495817,27.745752,1
13123,-82.359099,27.8791693,0
19183,-80.0594915,26.8684818,0
10568,-82.4470567,27.9887785,1
4060,-81.7269945,26.6065824,1
1966,-81.7754768,26.0959723,0
7696,-82.5281807,28.4901569,0
5833,-80.5854961,28.1106123,0
748,-82.7232075,27.7759418,1
14160,-82.307086,27.801761,1
9246,-80.1472221,26.2553184,0
4991,-80.3807243,26.110773,0
18244,-81.789262,26.1197806,0
9361,-82.3049546,28.1890407,0
355,-80.1348088,26.386691,1
8312,-81.4986499,28.5326372,1
12666,-80.9784927,29.0944321,0
998,-82.6846648,28.308883,0
1368,-80.2188388,26.0562309,0
6378,-80.1260667,26.9547079,0
19150,-81.8088564,26.4562291,0
5393,-81.6094548,30.3360928,0
8296,-82.3946223,27.7784064,0
16601,-80.2852208,25.8759411,0
10325,-81.643667,26.5620665,0
17258,-82.7417602,28.2168965,1
6198,-81.3980705,30.236574,0
10012,-81.7260245,25.9414495,1
15743,-80.4053516,27.2711968,1
14128,-81.7051903,30.2734733,1
12645,-82.4376334,28.5141723,0
7703,-80.2101823,26.1292615,1
8000,-82.3159113,28.1356544,0
10244,-82.4092082,27.2783437,0
10,-82.3326128,27.6740185,0
17222,-81.7497388,28.8041093,0
7649,-80.7200816,25.7136906,0
7007,-82.0112844,27.021313,1
9260,-80.2346304,25.7616243,0
3246,-82.5240186,28.569016,0
4912,-80.2768643,25.6973561,1
7774,-80.2600636,26.3298105,1
12998,-80.1282089,26.1687162,0
5638,-80.142263,26.4432643,0
12183,-81.8067462,26.236241,1
174,-82.7183234,27.8752653,1
1981,-81.4097653,28.6705708,1
18620,-82.4098245,27.0308132,1
15105,-81.6332938,30.0731353,1
14110,-80.1351951,26.5058707,1
18359,-81.6678825,30.344717,0
7540,-82.3681522,27.844594,0
386,-82.4913716,28.0647158,0
12436,-81.2919746,28.6176174,0
10413,-81.63748,30.2475346,1
15381,-80.0879102,26.8749441,0
11260,-80.4051762,26.1276733,1
2417,-81.6290686,26.6562998,1
16681,-81.395672,30.1947271,1
11890,-82.4616456,27.1617778,1
18928,-80.3510439,26.0004843,1
5061,-80.1341212,26.3115874,1
18097,-81.1800406,28.9531425,0
11614,-80.0822098,26.3437982,1
10208,-80.358771,26.1143745,0
12793,-82.2658327,27.0621173,0
19152,-81.2220987,28.8387982,1
17413,-82.4899396,28.5101164,0
14192,-82.6099969,28.0419041,0
2315,-81.906719,28.060349,1
9022,-80.2389739,26.0688927,0
12578,-81.2689888,28.8853572,1
15341,-82.5935317,28.4838938,1
1788,-80.8826752,28.8402255,1
18424,-82.525188,28.1205405,1
2467,-80.1783328,26.0986303,1
3638,-81.0610153,29.325836,1
15401,-80.1414395,25.7576865,0
1550,-82.5528538,28.4828261,0
10758,-82.4883799,27.5519278,0
1663,-80.2659253,25.8511698,0
8375,-81.7480748,26.4307083,0
4725,-80.2780328,26.1427619,0
5279,-81.3787895,28.3178767,0
7523,-80.2311409,26.1145791,1
10500,-82.5548737,27.2942413,1
17277,-82.4579738,28.4711974,1
13172,-82.4899396,28.5101164,1
9269,-81.9945018,28.8171778,0
3339,-81.9383043,26.6821307,1
4370,-80.690822,28.372657,0
12577,-82.0916536,29.1349045,0
16208,-81.9026902,26.657338,1
12657,-82.7062973,27.7868535,0
7507,-82.6691148,27.750062,0
13924,-81.0726116,29.3219396,1
9237,-80.1220305,26.2010533,1
3417,-81.3039779,28.5506755,1
2470,-80.3340253,25.9965886,1
11994,-82.6761132,27.7714212,0
3345,-80.2309151,26.0279146,1
4145,-80.1350146,26.5335463,1
16963,-80.2600636,26.3298105,1
4210,-82.6672645,28.468093,1
18089,-80.3054539,27.3327579,0
7865,-80.2229967,26.1888826,1
9764,-82.5318689,27.3362532,0
14084,-82.57028,28.3752642,0
12849,-81.3833577,27.8164916,0
1772,-80.3431706,25.7767989,0
8768,-82.6237954,27.8327585,0
19058,-80.289707,27.288633,0
1807,-82.6470112,28.2128853,1
15003,-81.0042522,29.2131309,1
5500,-80.1921439,25.8620671,0
7319,-80.0745935,26.7866727,1
9013,-80.2496502,25.7167841,1
1096,-80.338893,25.5907924,1
11297,-80.6642837,28.1268431,0
11048,-80.0623982,26.8468889,1
4403,-81.4590264,28.6185513,1
15582,-81.6615284,30.1562544,1
7306,-87.168696,30.4667334,1
16740,-80.1509398,26.6461213,0
2120,-80.1892956,25.7670382,1
9230,-82.4558733,27.9215781,1
17301,-81.2607698,28.6256508,1
8560,-81.6830946,28.5267268,0
15244,-81.7057799,26.1920122,1
6395,-82.4425449,27.5526712,0
15260,-80.1264806,26.0050491,1
5975,-80.4627735,27.8006501,0
7964,-82.1919811,26.8339538,1
14569,-81.9250913,26.6650808,1
2260,-82.1288503,27.0181018,0
3718,-80.0510815,26.6792514,1
17717,-80.5034269,27.9440265,0
520,-81.3136934,28.7423008,1
15830,-82.4883799,27.5519278,0
781,-82.5288643,27.4195806,0
10545,-82.523788,28.2052479,1
18626,-82.4616456,27.1617778,0
17791,-80.1331789,25.943131,0
12772,-80.2629659,25.6736733,1
10449,-80.1525999,26.1733694,1
15707,-81.9377104,27.9151223,1
3578,-82.1477015,26.9463384,0
12572,-80.113908,26.4500845,0
12349,-82.539993,28.0477366,0
17494,-82.0811108,26.922776,0
13399,-81.5838052,30.3418347,0
17166,-80.5986155,28.3855242,1
4169,-80.0769305,26.484135,0
1761,-81.2645123,28.9917024,1
6831,-82.3159113,28.1356544,1
6219,-81.6401417,30.1760518,1
13127,-81.2611956,28.5191313,0
10023,-80.3102933,25.6755601,1
11254,-82.7554678,27.9132145,0
13208,-82.650838,27.7993677,1
6313,-80.1789826,26.2387792,0
9721,-82.4943916,27.9315985,1
17144,-82.7524865,28.1810794,1
15721,-81.9658135,28.0173943,0
15421,-81.2944984,28.4025411,0
10331,-81.8106979,26.1643728,0
13750,-82.4067301,27.7241906,0
9067,-81.3143495,29.8490923,1
16920,-82.4284057,28.1460694,0
16539,-80.6669344,28.2031705,0
14986,-80.2600636,26.3298105,1
5519,-82.4867888,28.0961817,1
9643,-80.6591329,28.1499332,1
11443,-80.2772588,25.8144926,0
11947,-86.4143433,30.3979352,1
19107,-80.2204024,25.90181,0
9053,-80.394451,26.1274143,0
9790,-80.5896399,28.1197479,1
2764,-81.6260312,26.6818232,0
9880,-82.498816,28.0771272,1
3313,-80.1257796,26.5984011,0
7676,-82.6211401,27.4263618,1
2980,-80.3462462,25.7722788,1
4359,-86.4873496,30.3839432,1
9752,-82.5526318,27.3983776,1
13792,-80.3221416,26.1235368,0
7499,-80.1945364,25.7459487,0
16710,-82.5003139,27.9168559,1
17259,-81.5033692,27.5077843,1
2461,-81.5999268,26.5834345,0
225,-81.8640097,27.9244288,1
4183,-82.4581264,27.3746934,0
7883,-81.961661,29.6717706,1
2187,-80.1165262,26.1244785,0
7016,-80.1220305,26.2010533,0
16334,-82.4065185,28.0242562,0
5175,-80.2351227,25.8523535,0
13475,-81.5164371,28.4056815,0
5700,-82.2755388,28.2523438,0
12851,-80.1613335,25.6883345,1
18691,-80.2218649,26.1437294,0
94,-81.5836617,30.1171139,1
5418,-80.1669444,25.8109004,1
252,-87.3591702,30.312842,1
6545,-82.1299272,29.1128879,1
1022,-80.6394647,28.2119491,0
8120,-87.3577821,30.406966,0
9151,-80.2623834,26.6700245,1
4213,-80.2901121,27.33142,0
18255,-82.3027221,28.615086,0
3409,-81.4635321,28.696199,0
7710,-81.8149081,26.2022278,0
18967,-81.2535682,28.2758935,0
1820,-81.3652989,28.524216,0
6735,-81.3651796,28.2569121,1
10536,-81.2019744,28.2926642,0
16856,-82.2755388,28.2523438,0
7389,-81.784753,26.2687685,0
4754,-86.5327859,30.7691662,0
8640,-82.5266985,27.9172001,1
966,-80.2707845,26.2781989,0
4774,-80.3058083,26.0155802,0
16571,-81.2645123,28.9917024,0
18697,-82.4579738,28.4711974,1
11370,-80.1521555,26.413201,1
7331,-82.5119638,27.9337097,0
3352,-80.2071788,26.7428116,1
17213,-82.0786108,28.9182439,1
10992,-80.4111704,25.7372782,1
13383,-86.4431458,30.5235189,0
9460,-81.7003478,29.4273002,1
3968,-82.7206674,27.8006095,0
3655,-80.2585027,26.2798955,1
6049,-82.6573571,28.1885494,1
1768,-81.1968008,28.6614176,1
8592,-80.2418685,27.1746025,0
5606,-81.7261858,30.2203042,0
5436,-80.1629962,26.1498052,1
2829,-83.1925929,30.9372227,0
18938,-82.6029435,27.8195955,0
12747,-80.2179628,25.8058883,1
10548,-81.7311501,30.1809786,0
19159,-84.2273008,30.6436073,1
14620,-82.4439883,28.0037955,0
13242,-80.2195163,26.2920755,0
5722,-81.4810918,30.3304379,1
17559,-82.3053481,27.7845132,0
7438,-80.2446273,25.8180833,1
9400,-80.1015765,26.1751905,0
13975,-81.8985089,28.9332031,1
16300,-81.3400894,28.7702343,1
6786,-82.5768776,27.9854582,1
3681,-82.5870205,28.0091469,0
5724,-82.539567,28.504081,0
4122,-80.133844,26.4017339,0
15389,-81.8245138,28.8066087,1
473,-81.4389744,28.2886425,1
13790,-80.3227839,25.9750531,1
11300,-81.6826576,30.3603409,1
7104,-80.2419658,26.0554832,1
15284,-81.1787197,28.894274,0
16711,-84.1533119,30.4509876,0
10377,-82.2579155,26.7481663,1
4219,-81.4635214,28.521915,0
2501,-80.1949369,26.154099,0
1678,-82.5119638,27.9337097,0
5637,-82.5701868,28.1854188,0
18539,-80.198218,26.3101608,1
11671,-80.1521555,26.413201,1
6429,-86.6326128,30.4100878,0
9603,-80.2007341,25.8181919,1
15084,-82.7831581,28.1054497,1
12428,-80.1341212,26.3115874,1
7864,-82.4098245,27.0308132,1
13374,-80.1597102,26.4766201,1
2986,-82.81032,27.8601358,1
7391,-82.4376334,28.5141723,1
4389,-82.2995382,28.7024011,0
7077,-82.4943916,27.9315985,0
5805,-80.1252244,25.8028426,1
14321,-82.5701868,28.1854188,0
11883,-80.1431423,26.9457671,0
11512,-82.5119667,27.9156566,0
3514,-80.2316693,25.7982113,1
16577,-80.3356323,26.0248696,1
1489,-82.3858264,27.9873418,1
9292,-81.4449104,28.486995,0
12005,-80.8486521,27.2232201,0
6367,-81.5094857,30.3637497,1
